"planet,function_core,function_extended,archetype,keywords_positive,keywords_shadow,low_level_manifestation,high_level_manifestation,created_at"
"Sun,""Core of identity and will; the center of self and creative self-expression."",""Represents the sense of 'I am', personal significance and uniqueness, the ability to choose a direction consciously and show oneself to the world. Gives inner backbone, a drive to shine, create and take responsibility. Through the Sun a person seeks recognition and wants to be seen and appreciated."",""King; Hero; Creator"",""self-respect; confidence; generosity; nobility; creativity; responsibility; charisma"",""pride; narcissism; showiness; dramatization; constant need for admiration; authoritarianism"",""An infantile ego that is offended when not noticed, competes for any stage, lives only on external approval and cannot admit mistakes."",""A mature self that rests on inner dignity, calmly takes leadership, shines for others without devaluing them, and creates from a sense of meaning rather than hunger for applause."","""""
"Moon,""Emotional base and need for safety; capacity to feel, care and attach."",""Represents emotional reactions, mood, basic feeling of security and the way a person experiences closeness, care and belonging. Linked to mother and childhood experience, to the inner child. Forms one’s habitual style of reacting: how we soothe ourselves, how we comfort others and how we build a sense of home."",""Mother; Child; Keeper of the Hearth"",""care; sensitivity; empathy; ability to nurture; intuitive understanding of others; capacity to create warmth and acceptance"",""whining; touchiness; emotional instability; dependency; regression into childish patterns; passive emotional manipulation"",""Emotional dependence on external support, withdrawal into sulks and silent punishment, uncontrolled mood swings, fusion with close ones and inability to tolerate frustration."",""Emotional maturity: the person can care for self and others without self-sacrifice, openly voice feelings, create safe space and use sensitivity as a resource rather than as a permanent vulnerability."","""""
"Mercury,""Thinking, information processing and communication; function of connection and analysis."",""Shows how a person thinks, learns, processes information and makes connections between phenomena. Includes speech, curiosity, ability for logic, classification and explanation. Forms communication style and mental habits: how we ask questions, argue, doubt and share ideas."",""Messenger; Student; Analyst"",""intellect; curiosity; flexibility; quick-wittedness; ability to learn; communication skills"",""superficiality; chatter; over-rationalization; nervousness; trickiness; cynicism"",""Mind as an endless radio: lots of words and little meaning, no depth or stability, constant doubts and mental games for their own sake, using intellect to defend and to devalue feelings."",""A clear, precise mind that can connect facts and meanings, convey complex things in simple words, think systemically, distinguish core from secondary and use intellect as a tool for growth rather than protection from life."","""""
"Venus,""Values, taste, pleasure and ability to build harmonious relationships."",""Shows what a person likes and what is perceived as beautiful and valuable: people, objects, experiences and lifestyles. Connected with love, attraction, the ability to give and receive pleasure, and the way one builds alliances and seeks harmony. Also reflects the relationship with money, comfort and the body."",""Lover; Muse; Diplomat"",""sensuality; attractiveness; search for harmony; ability to negotiate; aesthetic taste; capacity to appreciate and be grateful"",""laziness; addiction to pleasure; consumer attitude to people; conflict avoidance; desire to please at any cost; jealousy"",""Seeking easy pleasures instead of real intimacy, adapting to the partner for the sake of acceptance, fear of conflict and direct talk, dependence on external evaluation of attractiveness."",""Conscious ability to value self and others, build equal and beautiful relationships, choose pleasure without running from responsibility, and create around oneself a space of beauty, support and mutual exchange."","""""
"Mars,""Action, will, aggression and boundary-setting; ability to say 'no' and to fight."",""Shows impulse to act, initiative, drive, ability to overcome resistance and stand up for one’s interests. Connected with anger, rage, sexual energy and physical force. Indicates how a person fights, competes, achieves and protects their space."",""Warrior; Fighter; Protector"",""energy; decisiveness; courage; initiative; ability to act directly; physical and volitional strength"",""aggressiveness; conflict seeking; hot temper; intolerance; pressure; destructive impulsiveness"",""Fight-or-flight reactions without awareness, outbursts of anger over trifles, fighting for the sake of fighting, constant feeling of inner war with the world or oneself."",""Directed strength: the person knows their goals, can clearly say yes and no, express anger ecologically, protect self and others without destruction and use the energy of struggle for creation and progress."","""""
"Jupiter,""Expansion, meaning, faith and life perspective; inner teacher and principle of growth."",""Shows ability to see a bigger picture, connect personal experience with worldview and meaning. Linked with luck, opportunities, intuitive fortune, nobility and generosity. Indicates how a person grows, what they learn, what they believe in and what they hope for. Gives a sense that the world is basically supportive of development."",""Teacher; Sage; Traveler"",""optimism; faith; generosity; drive for development; philosophical outlook; sense of meaning"",""overconfidence; moralizing; preaching; ideological fanaticism; excessive risk; wastefulness"",""Blind belief that 'it will somehow work out', escaping into promises and theories without implementation, overestimating one’s abilities, preaching to others without self-work, avoiding limits and discipline."",""Wise yet grounded optimism: the person feels meaning in events, can learn from experience, share knowledge without pressure, and use luck as a resource for growth and service without losing touch with reality."","""""
"Saturn,""Structure, boundaries, responsibility and maturity; principle of reality and time."",""Represents sense of duty, patience, ability to endure limitations and move toward a goal step by step. Linked with fears, complexes, inner critic, as well as inner backbone, discipline and mastery. Where Saturn stands, one has to 'earn the right' and become an adult."",""Elder; Builder; Judge"",""endurance; reliability; responsibility; self-discipline; practicality; ability to finish what was started"",""rigidity; coldness; pessimism; fears; guilt; self-punishment; excessive control"",""Life as an endless exam, chronic feeling of personal 'not enough', fear of mistakes and failures, burnout from perfectionism, emotional closedness and harshness toward self and others."",""Inner maturity: the person relies on real achievements, builds long-term structures, takes responsibility without self-destruction, respects boundaries and feels deep dignity from the path already walked."","""""
"Uranus,""Freedom, individuality and breakthrough into the new; function of sudden insight and change."",""Shows the urge to be oneself, different from others, to break outdated forms and step outside the box. Linked with originality, rebellion, eccentricity and capacity for sharp turns in fate. Gives a sense of inner independence and the right to live by one’s own rules."",""Rebel; Reformer; Inventive Genius"",""originality; independence; intuitive insights; courage to change rules; openness to diversity; innovation"",""unpredictability; chaos; stubborn rebellion for its own sake; devaluation of traditions; emotional coldness; detachment from reality"",""Impulsive breaks and exits, constant escape from structures and commitments, shocking behavior just for effect, denial of any limits, feeling 'I am alien and nobody understands me'."",""Conscious freedom: the person keeps uniqueness and the right to their view while staying in contact with reality and people, can gently but firmly renew the systems they are part of and bring new ideas into practical life."","""""
"Neptune,""Imagination, ideals, empathy and dissolution of boundaries; function of dream and spiritual experience."",""Shows capacity to feel subtle states, ideals, mystical experience, inspiration, compassion and unconditional love. Linked with art, symbols, dreams and the collective unconscious. Indicates where a person tends to dissolve, idealize and search for salvation."",""Mystic; Artist; Savior"",""intuition; inspiration; compassion; capacity for empathy; spiritual search; creative imagination"",""illusion; escape from reality; addictions; self-sacrifice; blurred boundaries; self-deception"",""Sliding into fantasy instead of action, idealizing people and situations and then being disappointed, tendency toward substances or other dependencies, weak no, loss of self in other people’s stories."",""Integrated spirituality: the person can translate subtle experiences into creativity and service, maintain empathy without dissolving, distinguish reality from fantasy while still keeping the right to dream and believe."","""""
"Pluto,""Deep transformation, will-power and work with crises; energy of death and rebirth."",""Shows processes of radical change, exposure of truth and destruction of all that is non-viable. Linked with power, control, taboo topics, fear of loss and renewal through crisis. Indicates where a person meets extreme states and is forced to confront their own shadow."",""Alchemist; Magician; Lord of the Underworld"",""psychological depth; regenerative capacity; will-power; insight; ability to withstand crises; transformational potential"",""obsession; jealousy; revenge; urge for total control; manipulation; destructiveness"",""Fixation on power and control, 'all or nothing' games, self-destruction and destruction of others through extremes, pulling oneself into toxic scenarios, fear of vulnerability hiding behind hardness."",""Deep inner work with one’s shadow: the person is not afraid to look into pain, goes through crises becoming wiser and freer, helps others transform and turns destructive energy into a force of healing and renewal."","""""
"Chiron,""Wounded healer; the point where personal wound becomes a source of wisdom and help to others."",""Represents the experience of fundamental vulnerability or 'imperfection' that over time can become special sensitivity and ability to support others. Shows where a person feels 'not like others' but can find a unique gift and path of service."",""Wounded Healer; Mentor; Bridge"",""sensitivity to others' pain; capacity for gentle accompaniment; deep human understanding; ability to turn personal experience into support"",""inferiority complex; shame; feeling of an unhealable wound; self-sabotage; avoidance of exposure"",""Fixation on one’s wound and specialness, chronic avoidance of the area where it hurts, projection of one’s pain onto others, role of eternal victim or eternal savior."",""Recognition and acceptance of one’s vulnerability as part of the path, ability to speak about pain without dramatization, turning trauma into a channel of wisdom through which the person carefully and ethically supports others."","""""
