Steliara — данные рабочего экрана: что нужно астрологу (отметьте колонки E–G),,,,,,,,,,,
"Инструкция: колонки E–G — исходные отметки астролога. QA-колонки справа подсказывают, где открыть функцию, что сделать, какой результат ожидать и на какой карте удобнее проверить.",,,,,,,,,,,
Категория,Параметр / данные,Что это и зачем астрологу,Статус (у нас),Нужно нам? (Да/Нет/?),Приоритет (1-3),Комментарий,Проверено по коду,Где проверить в интерфейсе,Как проверить астрологу,Ожидаемый результат / примечание,Тестовая карта / пример для проверки
1. Позиционные данные,,,,,,,,,,,
,Долгота по знаку + абс. градусы,Базовая позиция планеты в знаке и градусах,Есть,,,,,,,,Любая сохранённая натальная карта клиента.
,"Скорость °/день, ретроградность (R)",Скорость и направление движения,Есть,,,,,,,,"Карта с ретроградной планетой; удобно взять дату, где Mercury/Venus/Mars ретроградны."
,"Станции (R/D, стационарность)","Момент смены направления, с настраиваемым порогом",Есть,,,,,,,,Карта на дату около разворота Mercury/Mars/Jupiter; бейдж станции появляется только рядом с разворотом.
,Эклиптическая широта,Широта планеты,Есть,,,,,,,,Любая сохранённая натальная карта; широта есть в payload планет.
,Расстояние (а.е.),Дистанция планеты,Есть,,,,,,,,Любая сохранённая натальная карта; расстояние есть в payload планет.
,Склонение (declination),Для параллелей/контрпараллелей,Есть,,,,Да,Рабочий экран карты → данные планет/API; используется для OOB и деклинационных аспектов.,"Откройте сохранённую натальную карту. Склонение рассчитывается для планет автоматически; напрямую как отдельная колонка может не показываться, но на его основе появляются OOB и параллели/контрпараллели.",Склонение добавлено в payload планет как declination; это техническая база для OOB и параллелей.,Любая сохранённая натальная карта; для ручной сверки открыть API/payload планет и поле declination.
,Out-of-bounds,Планета вне границ склонения Солнца,Есть,,,,Да,Рабочий экран карты → таблица планет; полный натальный отчёт → таблица планет.,"Откройте карту, где планета выходит за пределы наклона эклиптики. Рядом с такой планетой должен появиться бейдж OOB / “вне гр.”.",OOB считается по склонению планеты: abs(declination) > obliquity. Бейдж показывается только для реально out-of-bounds планет.,"Нужна карта с OOB Moon/Mars/Venus/Mercury. Если бейджа нет, взять другую дату с высоким склонением Луны или Марса."
,"Дома + куспиды, выбор системы","Куспиды, переключение системы домов на лету",Есть,,,,,,,,Любая карта с точным временем и координатами рождения; для проверки переключить систему домов.
,Лилит / Узлы / Хирон / Прозерпина / Селена / Фортуна / Крест судьбы,Фиктивные точки и узлы,Есть,,,,,,,,Любая сохранённая натальная карта.
,Церера / Веста / Паллада / Юнона,Главные астероиды,Есть,Может быть,3,,Да,Рабочий экран карты → редактор панелей/виджетов → добавить или открыть блок “Астероиды”.,"Откройте сохранённую натальную карту клиента. В блоке “Астероиды” должны появиться Ceres, Pallas, Juno, Vesta с градусом, знаком, ретроградностью R при наличии и домом.","Астероиды сделаны отдельным natal-блоком, а не строками внутри основной таблицы планет.",Любая сохранённая натальная карта; астероиды должны рассчитаться для каждого клиента.
,"Вертекс, East Point",Дополнительные углы,Есть,Может быть,3,,Да,"Рабочий экран карты → таблица домов/углов; также полный натальный отчёт, если открыт.","Откройте карту клиента и посмотрите список углов. Должны отображаться Vertex, East Point и AntiVertex, если расчёт возможен для широты рождения.",Для полярных/крайних широт Vertex может отсутствовать; это допустимо.,Карта с точным временем и неэкстремальной широтой рождения. Для полярных широт Vertex может отсутствовать.
,Фиксированные звёзды,Звёзды на угловых / в соединении,Есть,Да,1,,Да,Рабочий экран карты → редактор панелей/виджетов → блок “Звёзды”.,"Откройте сохранённую натальную карту и добавьте/откройте блок “Звёзды”. Проверьте список соединений фиксированных звёзд с планетами и углами: объект, звезда, градус, природа и орб.",Используется Swiss Ephemeris fixed stars catalog; показываются соединения в пределах заданного орба.,"Лучше тестовая карта с планетой/ASC/MC около Regulus, Spica, Aldebaran, Antares или Algol. Если соединений нет, блок корректно покажет пустое состояние."
2. Аспекты,,,,,,,,,,,
,Сетка аспектов + орб,Таблица аспектов с орбами,Есть,,,,,,,,Любая сохранённая натальная карта с несколькими планетами в аспектах.
,"Applying / separating, точное отклонение",Сходящийся/расходящийся аспект,Есть,,,,,,,,Любая карта с аспектами; для проверки смотреть таблицу аспектов с фазой applying/separating.
,Настраиваемые орбы (в т.ч. по планетам),Гибкая система орбисов,Есть,,,,,,,,"Любая карта; удобнее карта с аспектом на границе орба, чтобы увидеть изменение после настройки."
,"Конфигурации: гранд-трин, т-квадрат, гранд-крест, йод, стеллиум",Автодетект фигур,Есть,,,,,,,,Нужна карта с известной конфигурацией; для стеллиума подойдёт карта с 3+ планетами в одном знаке/доме.
,Кайт и прочие минорные паттерны,Доп. конфигурации,Частично,,,,,,,,"Только карта, где такая фигура реально есть; иначе ожидаемо пусто/нет паттерна."
,Антисы / контрантисы,Точки симметрии относительно осей,Есть,Может быть,3,,Да,Рабочий экран карты → редактор панелей/виджетов → блок “Антисы”.,"Откройте сохранённую натальную карту. В блоке “Антисы” проверьте для планет и точек две колонки: антис и контрантис. Ниже должны появляться контакты, если антис/контрантис попадает на другую точку в пределах орба.",Сделано отдельным natal-блоком; это не настройка внутри сетки аспектов.,Любая сохранённая натальная карта; контакты появятся только если антис/контрантис попадает на другую точку в пределах орба.
