"planet,house_number,summary,detailed_description,life_area_focus,inner_conflicts,created_at"
"Sun,1,""Strong need to be seen as a distinct personality"",""Core identity is closely tied to self image and personal initiative. The person experiences life as a stage where they must show who they are through direct action. There is a strong drive to lead and to start things independently. Feedback from the environment about their presence strongly affects self esteem."",""Self image; physical vitality; first impressions; way of starting new cycles."",""Tension between the need to be in the foreground and the capacity to consider others needs; oscillation between healthy self assertion and egocentrism; sensitivity to any criticism of appearance or behavior."","
"Sun,2,""Identity is linked to possessions and stability"",""Sense of self is strongly based on what is owned and what feels secure. The person needs material and emotional stability to shine. Creating tangible results and building resources becomes a way to confirm self worth. They tend to be persistent and pragmatic in pursuing goals."",""Personal finances; values; talents; relationship to comfort and security."",""Conflict between desire for inner dignity and attachment to external security; fear of loss can block generosity and growth; clinging to routines even when life calls for change."","
"Sun,3,""Identity is expressed through learning and communication"",""Self expression flows through words movement and exchange of information. Curiosity and mental activity are central to feeling alive. The person wants to be heard and understood and can become the natural center in any conversation. Learning and teaching are core life themes."",""Communication style; siblings and peer relationships; everyday learning; short trips."",""Tension between breadth and depth of interests; risk of scattering energy on many topics; inner fear of being intellectually ordinary fueling constant mental agitation."","
"Sun,4,""Identity is rooted in family and inner world"",""Core sense of self is bound to home lineage and private life. The person seeks a strong emotional base and often feels responsible for the family system. Inner security and connection to roots are crucial for self expression in the outer world."",""Home and family; emotional foundations; relationship with parents and ancestry."",""Conflict between loyalty to family patterns and personal ambitions; tendency to stay in the past or in nostalgia when life demands movement forward; difficulty separating own needs from the family story."","
"Sun,5,""Strong need for creativity love and recognition"",""Self realization goes through play romance and creative projects. The person wants to shine through what they create and whom they love. There is a natural theatricality and desire for admiration. Children or creative works may become main stage of life."",""Romance; creativity; hobbies; children; self promotion."",""Conflict between genuine creativity and hunger for applause; tendency to dramatize experiences; risk of living only for pleasure and recognition while postponing deeper inner work."","
"Sun,6,""Identity is tied to work usefulness and mastery"",""Personality is structured through service and competence in daily tasks. The person feels alive when solving concrete problems and improving systems. There is a strong need to be useful and efficient which can lead to perfectionism and overwork."",""Daily work; health; routines; skills and service."",""Inner split between desire for flawless performance and need for rest; fear of mistakes leading to self criticism; risk of identifying only with the role of servant or specialist and forgetting broader life purpose."","
"Sun,7,""Identity is mirrored through partnerships"",""The sense of self is formed through close relationships. The person discovers who they are by facing significant others. There is a strong need for equality cooperation and recognition in partnership. Marriage or alliances become central stage for life drama."",""Marriage and partnerships; alliances; open opponents; public image in one to one contacts."",""Conflict between own will and partner expectations; risk of projecting strength or weakness onto others; fear of loneliness that can push into compromises against true self."","
"Sun,8,""Identity grows through crises and deep transformations"",""The person is drawn into intense experiences that require letting go of control and old forms. Self realization is tied to shared resources intimacy and confrontation with taboo topics. There is potential for deep inner power and regenerative strength."",""Shared finances; intimacy; psychological transformation; work with taboos and losses."",""Inner struggle between desire for control and necessity of surrender; fear of vulnerability in close bonds; attraction to extremes that can both empower and destroy; difficulty living in moderation."","
"Sun,9,""Identity is built around meaning beliefs and horizons"",""The person experiences life as a quest for higher truths. Self expression goes through study travel teaching or spiritual search. They need wide horizons and inspiring ideals to feel alive and generous."",""Higher education; philosophy and religion; long journeys; life vision."",""Conflict between faith in own truth and capacity to learn from others; risk of dogmatism or moralizing; avoidance of everyday details in favor of grand schemes; tension between freedom and responsibility."","
"Sun,10,""Identity is linked to vocation and status"",""Core sense of self is realized through career and social role. The person aims to be visible and respected in the outer world. Ambition and responsibility are strong and there is a tendency to identify with achievements and position."",""Career; reputation; relationship with authorities; long term goals."",""Conflict between public image and private needs; fear of failure or loss of status; risk of living only through work role; difficulty relaxing control and accepting vulnerability."","
"Sun,11,""Identity is expressed through groups and future projects"",""Self expression is tied to belonging to communities and participation in collective ideas. The person seeks like minded people and wants to contribute to something larger than personal life. Friendships and networks are central."",""Friendships; teams and communities; social ideals; personal dreams and projects."",""Tension between need for uniqueness and desire to belong; risk of dissolving individuality in group expectations or on the contrary of staying emotionally detached; fear of rejection by the tribe."","
"Sun,12,""Identity is connected to inner world and the invisible"",""Self sense is subtle and often hidden. The person feels life as a backstage process of sacrifice healing or service to something greater. There is strong sensitivity to collective unconscious and to others suffering."",""Retreat and solitude; subconscious patterns; spiritual search; work in closed institutions."",""Conflict between ego needs and call to dissolve personal boundaries; tendency to escape reality through fantasies or self sacrifice; difficulty defining clear identity and goals; fear of being misunderstood or invisible."","
"Moon,1,""Emotional nature is on the surface and quickly expressed"",""Feelings and moods are immediately visible in behavior and body language. The person seeks emotional contact and instinctively reacts to environment. There is strong need to be noticed and cared for as a unique individual."",""Immediate reactions; bodily habits; style of emotional self presentation."",""Conflict between spontaneity and fear of rejection; mood swings that affect self image; tendency to over identify with current feeling and forget deeper stable needs."","
"Moon,2,""Emotional security is tied to stability and possessions"",""The person calms down through predictable routines and tangible comfort. Food money and familiar objects become emotional anchors. There is strong attachment to what is owned and to simple sensory pleasures."",""Personal finances; food and body comfort; material safety."",""Inner struggle between need for security and fear of stagnation; tendency to hold on to things and relationships too long; anxiety when income or environment changes."","
